English,Russian,Ukrainian,ADMN,
Cherkasy,Черкасская ,Черкаська,admn1,
Chernihiv,Черниговская,Чернігівська ,admn1,
Chernivtsi,Черновицкая ,Чернівецька,admn1,
Crimea,Крым,Крим,admn1,
Dnipropetrovs'k,Днепропетровская,Дніпропетровська,admn1,
Donetsk,Донецкая,Донецька,admn1,
Ivano-Frankivs'k,Ивано-Франковская,Івано-Франківська,admn1,
Kharkiv,Харьковская,Харківська ,admn1,
Kherson,Херсонская ,Херсонська,admn1,
Khmelnytskyy,Хмельницкая,Хмельницька,admn1,
Kiev,Киевская ,Київська,admn1,
Kiev City,Киев,м.Київ,admn1,
Kirovohrad,Кировоградская,Кіровоградська,admn1,
Luhans'k,Луганская,Луганська,admn1,
Lviv,Львовская,Львівська,admn1,
Mykolayiv,Никола́евская,Миколаївська,admn1,
Odessa,Одесская,Одеська,admn1,
Odesa,Одесская,Одеська,admn1,
Poltava,Полтавская,Полтавська ,admn1,
Rivne,Ровненская,Рівненська,admn1,
Sevastopol City,Севастополь,Севастополь,admn1,
Sumy,Сумская,Сумська,admn1,
Ternopil',Тернопольская,Тернопільська,admn1,
Transcarpathia,Закарпатская,Закарпатська,admn1,
Vinnytsya,Винницкая,Вінницька,admn1,
Volyn,Волынская ,Волинська,admn1,
Zaporizhzhya,Запорожская,Запорізька,admn1,
Zhytomyr,Житомирская,Житомирська,admn1,
Vinnytsia,Вінницький район,Винницкий,admn2,Винницкая
Haisyn ,Гайсинський район,Гайсинский,admn2,Винницкая
Zhmerynka,Жмеринський район,Жмеринский,admn2,Винницкая
Mohyliv-Podilskyi,Могилів-Подільський район,Могилёв-Подольский,admn2,Винницкая
Tulchyn ,Тульчинський район,Тульчинский,admn2,Винницкая
Khmilnyk,Хмільницький район,Хмельникский,admn2,Винницкая
Volodymyr,Володимирський район,Владимирский,admn2,Волынская
Kamin-Kashyrskyi,Камінь-Каширський район,Камень-Каширский,admn2,Волынская
Kovel ,Ковельський район,Ковельский,admn2,Волынская
Lutsk ,Луцький район,Луцкий,admn2,Волынская
Dnipro Raion,Дніпровський район,Днепровский,admn2,Днепропетровская
Kamianske,Кам'янський район,Каменский,admn2,Днепропетровская
Kryvyi Rih,Криворізький район,Криворожский,admn2,Днепропетровская
Nikopol,Нікопольський район,Никопольский,admn2,Днепропетровская
Novomoskovsk,Новомосковський район,Новомосковский,admn2,Днепропетровская
Pavlohrad,Павлоградський район,Павлоградский,admn2,Днепропетровская
Synelnykove,Синельниківський район,Синельниковский,admn2,Днепропетровская
Bakhmut,Бахмутський район,Бахмутский,admn2,Донецкая
Volnovakha,Волноваський район,Волновахский,admn2,Донецкая
Horlivka,Горлівський район,Горловский,admn2,Донецкая
Donetsk ,Донецький район,Донецкий,admn2,Донецкая
Kalmiuske,Кальміуський район,Кальмиусский,admn2,Донецкая
Kramatorsk,Краматорський район,Краматорский,admn2,Донецкая
Mariupol,Маріупольський район,Мариупольский,admn2,Донецкая
Pokrovsk,Покровський район,Покровский,admn2,Донецкая
Berdychiv,Бердичівський район,Бердичевский,admn2,Житомирская
Zhytomyr,Житомирський район,Житомирский,admn2,Житомирская
Zviahel ,Звягельський район,Коростенский,admn2,Житомирская
Koroste,Коростенський район,Звягельский,admn2,Житомирская
Berehove,Берегівський район,Береговский,admn2,Закарпатская
Mukachevo,Мукачівський район,Мукачевский,admn2,Закарпатская
Rakhiv,Рахівський район,Раховский,admn2,Закарпатская
Tiachiv,Тячівський район,Тячевский,admn2,Закарпатская
Uzhhorod,Ужгородський район,Ужгородский,admn2,Закарпатская
Khust,Хустський район,Хустский,admn2,Закарпатская
Berdiansk,Бердянський район,Бердянский,admn2,Запорожская
Vasylivka,Василівський район,Васильевский,admn2,Запорожская
Zaporizhzhia,Запорізький район,Запорожский,admn2,Запорожская
Melitopol ,Мелітопольський район,Мелитопольский,admn2,Запорожская
Polohy ,Пологівський район,Пологовский,admn2,Запорожская
Verkhovyna,Верховинський район,Верховинский,admn2,Ивано-Франковская
Ivano-Frankivsk,Івано-Франківський район,Ивано-Франковский,admn2,Ивано-Франковская
Kalush ,Калуський район,Калушский,admn2,Ивано-Франковская
Kolomyia ,Коломийський район,Коломыйский,admn2,Ивано-Франковская
Kosiv,Косівський район,Косовский,admn2,Ивано-Франковская
Nadvirna,Надвірнянський район,Надворнянский,admn2,Ивано-Франковская
Bila Tserkva,Білоцерківський район,Белоцерковский,admn2,Киевская
Boryspil,Бориспільський район,Бориспольский,admn2,Киевская
Brovary ,Броварський район,Броварский,admn2,Киевская
Bucha,Бучанський район,Бучанский,admn2,Киевская
Vyshhorod,Вишгородський район,Вышгородский,admn2,Киевская
Obukhiv,Обухівський район,Обуховский,admn2,Киевская
Fastiv,Фастівський район,Фастовский,admn2,Киевская
Holovanivsk,Голованівський район,Голованевский,admn2,Кировоградская
Kropyvnytskyi,Кропивницький район,Кропивницкий,admn2,Кировоградская
Novoukrainka,Новоукраїнський район,Новоукраинский,admn2,Кировоградская
Oleksandriia,Олександрійський район,Александрийский,admn2,Кировоградская
Alchevsk Raion,Алчевський район,Алчевский,admn2,Луганская
Dovzhansk,Довжанський район,Должанский,admn2,Луганская
Luhansk ,Луганський район,Луганский,admn2,Луганская
Rovenky,Ровеньківський район,Ровеньковский,admn2,Луганская
Svatove ,Сватівський район,Сватовский,admn2,Луганская
Sievierodonetsk,Сєвєродонецький район,Северодонецкий,admn2,Луганская
Starobilsk,Старобільський район,Старобельский,admn2,Луганская
Shchastia,Щастинський район,Счастьинский,admn2,Луганская
Drohobych,Дрогобицький район,Дрогобычский,admn2,Львовская
Zolochiv Raion,Золочівський район,Золочевский,admn2,Львовская
Lviv,Львівський район,Львовский,admn2,Львовская
Sambir ,Самбірський район,Самборский,admn2,Львовская
Stryi ,Стрийський район,Стрыйский,admn2,Львовская
Chervonohrad,Червоноградський район,Червоноградский,admn2,Львовская
Yavoriv ,Яворівський район,Яворовский,admn2,Львовская
Bashtanka,Баштанський район,Баштанский,admn2,Николаевская
Voznesensk,Вознесенський район,Вознесенский,admn2,Николаевская
Mykolaiv,Миколаївський район,Николаевский,admn2,Николаевская
Pervomaisk,Первомайський район,Первомайский,admn2,Николаевская
Berezivka,Березівський район,Березовский,admn2,Одесская
Bilhorod-Dnistrovskyi,Білгород-Дністровський район,Белгород-Днестровский,admn2,Одесская
Bolhrad,Болградський район,Болградский,admn2,Одесская
Izmail,Ізмаїльський район,Измаильский,admn2,Одесская
Odesa,Одеський район,Одесский,admn2,Одесская
Podilsk,Подільський район,Подольский,admn2,Одесская
Rozdilna,Роздільнянський район,Раздельнянский,admn2,Одесская
Kremenchuk,Кременчуцький район,Кременчугский,admn2,Полтавская
Lubny ,Лубенський район,Лубенский,admn2,Полтавская
Myrhorod ,Миргородський район,Миргородский,admn2,Полтавская
Poltava,Полтавський район,Полтавский,admn2,Полтавская
Varash,Вараський район,Варашский,admn2,Ровненская
Dubno ,Дубенський район,Дубенский,admn2,Ровненская
Rivn,Рівненський район,Ровненский,admn2,Ровненская
Sarny ,Сарненський район,Сарненский,admn2,Ровненская
Konotop,Конотопський район,Конотопский,admn2,Сумская
Okhtyrka,Охтирський район,Ахтырский,admn2,Сумская
Romny,Роменський район,Роменский,admn2,Сумская
