English,Russian,Ukrainian
Cherkasy,Черкасская ,Черкаська
Chernihiv,Черниговская,Чернігівська 
Chernivtsi,Черновицкая ,Чернівецька
Crimea,Крым,Крим
Dnipropetrovs'k,Днепропетровская,Дніпропетровська
Donetsk,Донецкая,Донецька
Ivano-Frankivs'k,Ивано-Франковская,Івано-Франківська
Kharkiv,Харьковская,Харківська 
Kherson,Херсонская ,Херсонська
Khmelnytskyy,Хмельницкая,Хмельницька
Kiev,Киевская ,Київська
Kiev City,Киев,м.Київ
Kirovohrad,Кировоградская,Кіровоградська
Luhans'k,Луганская,Луганська
Lviv,Львовская,Львівська
Mykolayiv,Никола́евская,Миколаївська
Odessa,Одесская,Одеська
Odesa,Одесская,Одеська
Poltava,Полтавская,Полтавська 
Rivne,Ровненская,Рівненська
Sevastopol City,Севастополь,Севастополь
Sumy,Сумская,Сумська
Ternopil',Тернопольская,Тернопільська
Transcarpathia,Закарпатская,Закарпатська
Vinnytsya,Винницкая,Вінницька
Volyn,Волынская ,Волинська
Zaporizhzhya,Запорожская,Запорізька
Zhytomyr,Житомирская,Житомирська
Vinnytsia,Вінницький район,Винницкий
Haisyn ,Гайсинський район,Гайсинский
Zhmerynka,Жмеринський район,Жмеринский
Mohyliv-Podilskyi,Могилів-Подільський район,Могилёв-Подольский
Tulchyn ,Тульчинський район,Тульчинский
Khmilnyk,Хмільницький район,Хмельникский
Volodymyr,Володимирський район,Владимирский
Kamin-Kashyrskyi,Камінь-Каширський район,Камень-Каширский
Kovel ,Ковельський район,Ковельский
Lutsk ,Луцький район,Луцкий
Dnipro Raion,Дніпровський район,Днепровский
Kamianske,Кам'янський район,Каменский
Kryvyi Rih,Криворізький район,Криворожский
Nikopol,Нікопольський район,Никопольский
Novomoskovsk,Новомосковський район,Новомосковский
Pavlohrad,Павлоградський район,Павлоградский
Synelnykove,Синельниківський район,Синельниковский
Bakhmut,Бахмутський район,Бахмутский
Volnovakha,Волноваський район,Волновахский
Horlivka,Горлівський район,Горловский
Donetsk ,Донецький район,Донецкий
Kalmiuske,Кальміуський район,Кальмиусский
Kramatorsk,Краматорський район,Краматорский
Mariupol,Маріупольський район,Мариупольский
Pokrovsk,Покровський район,Покровский
Berdychiv,Бердичівський район,Бердичевский
Zhytomyr,Житомирський район,Житомирский
Zviahel ,Звягельський район,Коростенский
Koroste,Коростенський район,Звягельский
Berehove,Берегівський район,Береговский
Mukachevo,Мукачівський район,Мукачевский
Rakhiv,Рахівський район,Раховский
Tiachiv,Тячівський район,Тячевский
Uzhhorod,Ужгородський район,Ужгородский
Khust,Хустський район,Хустский
Berdiansk,Бердянський район,Бердянский
Vasylivka,Василівський район,Васильевский
Zaporizhzhia,Запорізький район,Запорожский
Melitopol ,Мелітопольський район,Мелитопольский
Polohy ,Пологівський район,Пологовский
Verkhovyna,Верховинський район,Верховинский
Ivano-Frankivsk,Івано-Франківський район,Ивано-Франковский
Kalush ,Калуський район,Калушский
Kolomyia ,Коломийський район,Коломыйский
Kosiv,Косівський район,Косовский
Nadvirna,Надвірнянський район,Надворнянский
Bila Tserkva,Білоцерківський район,Белоцерковский
Boryspil,Бориспільський район,Бориспольский
Brovary ,Броварський район,Броварский
Bucha,Бучанський район,Бучанский
Vyshhorod,Вишгородський район,Вышгородский
Obukhiv,Обухівський район,Обуховский
Fastiv,Фастівський район,Фастовский
Holovanivsk,Голованівський район,Голованевский
Kropyvnytskyi,Кропивницький район,Кропивницкий
Novoukrainka,Новоукраїнський район,Новоукраинский
Oleksandriia,Олександрійський район,Александрийский
Alchevsk Raion,Алчевський район,Алчевский
Dovzhansk,Довжанський район,Должанский
Luhansk ,Луганський район,Луганский
Rovenky,Ровеньківський район,Ровеньковский
Svatove ,Сватівський район,Сватовский
Sievierodonetsk,Сєвєродонецький район,Северодонецкий
Starobilsk,Старобільський район,Старобельский
Shchastia,Щастинський район,Счастьинский
Drohobych,Дрогобицький район,Дрогобычский
Zolochiv Raion,Золочівський район,Золочевский
Lviv,Львівський район,Львовский
Sambir ,Самбірський район,Самборский
Stryi ,Стрийський район,Стрыйский
Chervonohrad,Червоноградський район,Червоноградский
Yavoriv ,Яворівський район,Яворовский
Bashtanka,Баштанський район,Баштанский
Voznesensk,Вознесенський район,Вознесенский
Mykolaiv,Миколаївський район,Николаевский
Pervomaisk,Первомайський район,Первомайский
Berezivka,Березівський район,Березовский
Bilhorod-Dnistrovskyi,Білгород-Дністровський район,Белгород-Днестровский
Bolhrad,Болградський район,Болградский
Izmail,Ізмаїльський район,Измаильский
Odesa,Одеський район,Одесский
Podilsk,Подільський район,Подольский
Rozdilna,Роздільнянський район,Раздельнянский
Kremenchuk,Кременчуцький район,Кременчугский
Lubny ,Лубенський район,Лубенский
Myrhorod ,Миргородський район,Миргородский
Poltava,Полтавський район,Полтавский
Varash,Вараський район,Варашский
Dubno ,Дубенський район,Дубенский
Rivn,Рівненський район,Ровненский
Sarny ,Сарненський район,Сарненский
Konotop,Конотопський район,Конотопский
Okhtyrka,Охтирський район,Ахтырский
Romny,Роменський район,Роменский
Sumy,Сумський район,Сумский
Shostka,Шосткинський район,Шосткинский
Kremenets,Кременецький район,Кременецкий
Ternopil ,Тернопільський район,Тернопольский
Chortkiv,Чортківський район,Чортковский
Bohodukhiv,Богодухівський район,Богодуховский
Izium,Ізюмський район,Изюмский
Krasnohrad,Красноградський район,Красноградский
Kupiansk,Куп'янський район,Купянский
Lozova,Лозівський район,Лозовский
Kharkiv,Харківський район,Харьковский
Chuhuiv,Чугуївський район,Чугуевский
Beryslav ,Бериславський район,Бериславский
Henichesk,Генічеський район,Генический
Kakhovka,Каховський район,Каховский
Skadovsk,Скадовський район,Скадовский
Kherson,Херсонський район,Херсонский
Kamianets-Podilskyi,Кам'янець-Подільський район,Каменец-Подольский
Khmelnytskyi,Хмельницький район,Хмельницкий
Shepetivka,Шепетівський район,Шепетовский
Zvenyhorodka,Звенигородський район,Звенигородский
Zolotonosha,Золотоніський район,Золотоношский
Uman,Уманський район,Уманский
Cherkasy,Черкаський район,Черкасский
Vyzhnytsia,Вижницький район,Вижницкий
Dnistrovskyi,Дністровський район,Днестровский
Chernivtsi,Чернівецький район,Черновицкий
Koriukivka,Корюківський район,Корюковский
Nizhyn,Ніжинський район,Нежинский
Novhorod-Siverskyi,Новгород-Сіверський район,Новгород-Северский
Pryluky,Прилуцький район,Прилукский
Chernihiv ,Чернігівський район,Черниговский
Bakhchysarai,Бахчисарайський район,Бахчисарайский
Bilohirsk,Білогірський район,Белогорский
Dzhankoi,Джанкойський район,Джанкойский
Yevpatoria,Євпаторійський район,Евпаторийский
Kerch,Керченський район,Керченский
Qurman,Курманський район,Курманский
Perekop,Перекопський район,Перекопский
Simferopol,Simferopol,Симферопольский
Feodosia,Феодосійський район,Феодосийский
Yevpatoria,Ялтинський район,Ялтинский
Dnipro,Днепр,Дніпро
Chornobyl,Чернобыль,Чорнобиль
Olenivka,Оленевка,Оленівка
DPR,ДНР,ДНР
DNR,ДНР,ДНР
LNR,ЛНР,ЛНР
Vasylkiv,Васильков,Васильків
Levada,Левада,Левада
Cherkasy,Черкассы,Черкаси
Kakhovka,Каховка,Каховка
Myronivka,Мироновка,Миронівка
Kharkov,Харьков,Харків
Dnipropetrovsk,Днепропетровск,Дніпропетровськ
Teremki,Теремки,Теремки
Sumi,Суми,Суми
Uchkuyevka,Учкуевка,Учкуївка
Chernivtsi,Черновцах,Чернівцях
Chernomorets,Черноморец,Чорноморець
Lemberg,Лемберг,Лемберг
Horkoho,Горького,Горького
Debaltsevo,Дебальцево,Дебальцеве
Ilovaisk,Иловайск,Іловайськ
Donetsk,Донецк,Донецьк
Simferopol,Симферополь,Сімферополь
Nikolaevsky,Николаевский,Миколаївський
Kharkiv,Харьков,Харків
mariupol,мариуполь,маріуполь
Kerch,Керчь,Керч
Sudak,Судак,Судак
Balaklava,Балаклава,Балаклава
Smolianka,Смолянка,Смолянка
Akhtyrki,Ахтырки,Охтирки
Pavlograd,Павлоград,Павлоград
Odessa,Одесса,Одеса
Nosov,Носов,Носів
Hraniw,Гранов,Гранів
Bogdany,Богданы,Богдани
Dnipro,Днепр,Дніпра
Borispol,Борисполь,Бориспол
Klin,Клин,Клин
Berdyansk,Бердянск,Бердянськ
Hotov,Хотов,Хотів
Kirovograd,Кіровоградськ,Кіровоградська
Mariupol,Мариуполь,Маріуполя
Batkiv,Батькив,Батьків
Izium,Изюм,Ізюм
Severodonetsk,Северодонецк,Северодонецьку
Novenkoye,Новенькое,Новеньке
Galitsk,галицк,галицькій
Novy,Новый,Новий
Pechersk,Печерск,Печерськ
Lviv,Львов,Львов
Sadik,Садик,Садок
Zaporozhye,Запорожье,Запоріжжя
Ternopolshchyn,Тернопольщин,Тернопільщині
Kramatorsk,Краматорск,Краматорськ
Nikolsk,Никольск,Нікольск
Bashtanka,Баштанкa,Баштанкa
Maidan,Майдан,Майдан
Lipetsk,липецк,липецьк
Novgorod-Seversky,Новгород-Северский,Новгород-Сіверський
Strelki,Стрелки,Стрілки
Yurovka,Юровка,Юрівка
Kiev,Киев,Києв
Bakhchysaraiskyi,Бахчисарайский,Бахчисарайський
Bilohirskyi,Белогорский,Білогірський
Dzhankoiskyi,Джанкойский,Джанкойський
Yevpatoriiskyi,Евпаторийский,Євпаторійський
Kerchenskyi,Керченский,Керченський
Kurmanskyi,Курманский,Курманський
Perekopskyi,Перекопский,Перекопський
Simferopolskyi,Симферопольский,Сімферопольський
Feodosiiskyi,Феодосийский,Феодосійський
Yaltynskyi,Ялтинский,Ялтинський
Vinnytskyi,Винницкий,Вінницький
Haisynskyi,Гайсинский,Гайсинський
Zhmerynskyi,Жмеринский,Жмеринський
Mohyliv-Podilskyi,Могилев-Подольский,Могилів-Подільський
Tulchynskyi,Тульчинский,Тульчинський
Khmilnytskyi,Хмельницкий,Хмільницький
Volodymyrskyi,Владимирский,Володимирський
Kamin-Kashyrskyi,Камень-Каширский,Камінь-Каширський
Kovelskyi,Ковельский,Ковельський
Lutskyi,Луцкий,Луцький
Dniprovskyi,Днипровский,Дніпровський
Kamianskyi,Каменский,Кам’янський
Kryvorizkyi,Криворожский,Криворізький
Nikopolskyi,Никопольский,Нікопольський
Novomoskovskyi,Новомосковский,Новомосковський
Pavlohradskyi,Павлоградский,Павлоградський
Synelnykivskyi,Синельниковский,Синельниківський
Bakhmutskyi,Бахмутский,Бахмутський
Volnovaskyi,Волновахский,Волноваський
Horlivskyi,Горловский,Горлівський
Donetskyi,Донецкий,Донецький
Kalmiuskyi,Кальмиусский,Кальміуський
Kramatorskyi,Краматорский,Краматорський
Mariupolskyi,Мариупольский,Маріупольський
Pokrovskyi,Покровский,Покровський
Berdychivskyi,Бердичевский,Бердичівський
Zhytomyrskyi,Житомирский,Житомирський
Korostenskyi,Коростенский,Коростенський
Zviahelskyi,Звягельский,Звягельський
Berehivskyi,Береговский,Берегівський
Mukachivskyi,Мукачевский,Мукачівський
Rakhivskyi,Раховский,Рахівський
Tiachivskyi,Тячевский,Тячівський
Uzhhorodskyi,Ужгородский,Ужгородський
Khustskyi,Хустский,Хустський
Berdianskyi,Бердянский,Бердянський
Vasylivskyi,Васильевский,Василівський
Zaporizkyi,Запорожский,Запорізький
Melitopolskyi,Мелитопольский,Мелітопольський
Polohivskyi,Пологовский,Пологівський
Verkhovynskyi,Верховинский,Верховинський
Ivano-Frankivskyi,Ивано-Франковский,Івано-Франківський
Kaluskyi,Калушский,Калуський
Kolomyiskyi,Коломыйский,Коломийський
Kosivskyi,Косовский,Косівський
Nadvirnianskyi,Надворнянский,Надвірнянський
Chornobyl Exclusion Zone,Чернобыльская зона отчуждения,Чорнобильська зона відчуження
Bilotserkivskyi,Белоцерковский,Білоцерківський
Boryspilskyi,Бориспольский,Бориспільський
Brovarskyi,Броварский,Броварський
Buchanskyi,Бучанский,Бучанський
Vyshhorodskyi,Вышгородский,Вишгородський
Obukhivskyi,Обуховский,Обухівський
Fastivskyi,Фастовский,Фастівський
Holovanivskyi,Голованевский,Голованівський
Kropyvnytskyi,Кропивницкий,Кропивницький
Novoukrainskyi,Новоукраинский,Новоукраїнський
Oleksandriiskyi,Александрийский,Олександрійський
Alchevskyi,Алчевский,Алчевський
Dovzhanskyi,Должанский,Довжанський
Luhanskyi,Луганский,Луганський
Rovenkivskyi,Ровеньковский,Ровеньківський
Svativskyi,Сватовский,Сватівський
Sievierodonetskyi,Северодонецкий,Сєвєродонецький
Starobilskyi,Старобельский,Старобільський
Shchastynskyi,Счастьинский,Щастинський
Drohobytskyi,Дрогобычский,Дрогобицький
Zolochivskyi,Золочевский,Золочівський
Lvivskyi,Львовский,Львівський
Sambirskyi,Самборский,Самбірський
Stryiskyi,Стрыйский,Стрийський
Chervonohradskyi,Червоноградский,Червоноградський
Yavorivskyi,Яворовский,Яворівський
Bashtanskyi,Баштанский,Баштанський
Voznesenskyi,Вознесенский,Вознесенський
Mykolaivskyi,Николаевский,Миколаївський
Pervomaiskyi,Первомайский,Первомайський
Berezivskyi,Березовский,Березівський
Bilhorod-Dnistrovskyi,Белгород-Днестровский,Білгород-Дністровський
Bolhradskyi,Болградский,Болградський
Izmailskyi,Измаильский,Ізмаїльський
Odeskyi,Одесский,Одеський
Podilskyi,Подольский,Подільський
Rozdilnianskyi,Раздельнянский,Роздільнянський
Kremenchutskyi,Кременчугский,Кременчуцький
Lubenskyi,Лубенский,Лубенський
Myrhorodskyi,Миргородский,Миргородський
Poltavskyi,Полтавский,Полтавський
Varaskyi,Варашский,Вараський
Dubenskyi,Дубенский,Дубенський
Rivnenskyi,Ровенский,Рівненський
Sarnenskyi,Сарненский,Сарненський
Konotopskyi,Конотопский,Конотопський
Okhtyrskyi,Ахтырский,Охтирський
Romenskyi,Роменский,Роменський
Sumskyi,Сумский,Сумський
Shostkynskyi,Шосткинский,Шосткинський
Kremenetskyi,Кременецкий,Кременецький
Ternopilskyi,Тернопольский,Тернопільський
Chortkivskyi,Чортковский,Чортківський
Bohodukhivskyi,Богодуховский,Богодухівський
Iziumskyi,Изюмский,Ізюмський
Krasnohradskyi,Красноградский,Красноградський
Kupianskyi,Купянский,Куп'янський
Lozivskyi,Лозовский,Лозівський
Kharkivskyi,Харьковский,Харківський
Chuhuivskyi,Чугуевский,Чугуївський
Beryslavskyi,Бериславский,Бериславський
Henicheskyi,Генический,Генічеський
Kakhovskyi,Каховский,Каховський
Skadovskyi,Скадовский,Скадовський
Khersonskyi,Херсонский,Херсонський
Kamianets-Podilskyi,Каменец-Подольский,Кам'янець-Подільський
Khmelnytskyi,Хмельницкий,Хмельницький
Shepetivskyi,Шепетовский,Шепетівський
Zvenyhorodskyi,Звенигородский,Звенигородський
Zolotoniskyi,Золотоношский,Золотоніський
Umanskyi,Уманский,Уманський
Cherkaskyi,Черкасский,Черкаський
Vyzhnytskyi,Вижницкий,Вижницький
Dnistrovskyi,Днестровский,Дністровський
Chernivetskyi,Черновицкий,Чернівецький
Koriukivskyi,Корюковский,Корюківський
Nizhynskyi,Нежинский,Ніжинський
Novhorod-Siverskyi,Новгород-Северский,Новгород-Сіверський
Prylutskyi,Прилукский,Прилуцький
Chernihivskyi,Черниговский,Чернігівський
Kyiv,Киев,Київ
Sevastopol,Севастополь,Севастополь
Autonomous Republic of Crimea,Автономная Республика Крым,Автономна Республіка Крим
Vinnytska,Винницкая,Вінницька
Volynska,Волынская,Волинська
Dnipropetrovska,Днепропетровская,Дніпропетровська
Donetska,Донецкая,Донецька
Zhytomyrska,Житомирская,Житомирська
Zakarpatska,Закарпатская,Закарпатська
Zaporizka,Запорожская,Запорізька
Ivano-Frankivska,Ивано-Франковская,Івано-Франківська
Kyivska,Киевская,Київська
Kirovohradska,Кировоградская,Кіровоградська
Luhanska,Луганская,Луганська
Lvivska,Львовская,Львівська
Mykolaivska,Николаевская,Миколаївська
Odeska,Одесская,Одеська
Poltavska,Полтавская,Полтавська
Rivnenska,Ровенская,Рівненська
Sumska,Сумская,Сумська
Ternopilska,Тернопольская,Тернопільська
Kharkivska,Харьковская,Харківська
Khersonska,Херсонская,Херсонська
Khmelnytska,Хмельницкая,Хмельницька
Cherkaska,Черкасская,Черкаська
Chernivetska,Черновицкая,Чернівецька
Chernihivska,Черниговская,Чернігівська
